time_s,force_N,weight_g
252.234,2.783673,284.1178
252.672,2.784065,284.1578
253.109,2.7836,284.1104
253.546,2.784353,284.1873
253.984,2.784272,284.179
254.421,2.783731,284.1238
254.858,2.782951,284.0442
255.295,2.782758,284.0244
255.733,2.782334,283.9812
256.17,2.782456,283.9936
256.607,2.781374,283.8832
257.045,2.781811,283.9278
257.482,2.78173,283.9195
257.919,2.782447,283.9927
258.356,2.780806,283.8253
258.794,2.778354,283.575
259.231,2.778616,283.6017
259.668,2.778255,283.5648
260.105,2.777137,283.4508
260.543,2.778489,283.5888
260.98,2.778246,283.5639
261.417,2.778093,283.5483
261.855,2.778809,283.6214
262.292,2.779269,283.6684
262.729,2.778494,283.5892
263.166,2.779413,283.6831
263.604,2.7804,283.7838
264.041,2.779693,283.7116
264.478,2.779283,283.6697
264.916,2.779459,283.6877
265.353,2.778818,283.6223
265.79,2.778372,283.5768
266.227,2.778188,283.558
266.665,2.777092,283.4462
267.102,2.775501,283.2838
267.539,2.776439,283.3795
267.976,2.777444,283.4821
268.414,2.776592,283.3951
268.851,2.777795,283.5179
269.288,2.777331,283.4706
269.725,2.776123,283.3473
270.163,2.776804,283.4167
270.6,2.777336,283.471
271.037,2.777701,283.5083
271.474,2.777439,283.4816
271.912,2.777822,283.5207
