# independent_variable,F_in [g]
# F_in, g
# l_offset,10
# n_units,1
# l_curve,0
# notes,changed to bars with 100% infill
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples
1,0,-0.12540217391304348,0.04442272936299582,,46
2,100,100.27065434782608,0.05081957936999314,1.0027065434782607,46
3,0,-8.827600000000002,0.1571087535576692,,46
4,100,81.96638913043478,0.31754749721945136,0.8196638913043478,46
5,200,181.84575652173913,0.30116338175826907,0.9092287826086957,46
6,300,276.06565217391307,0.654387355806644,0.9202188405797103,46
7,400,372.61988043478254,0.5254200036878734,0.9315497010869563,46
8,500,474.45896086956526,0.16088367430229267,0.9489179217391305,46
9,600,571.5042804347827,0.7994907658752588,0.9525071340579712,46
10,700,678.9850695652176,0.9359879165577035,0.9699786708074537,46
