time_s,force_N,weight_g
923.922,2.706518,276.243
924.36,2.715308,277.1401
924.797,2.713642,276.9701
925.234,2.712805,276.8846
925.671,2.713736,276.9797
926.109,2.71258,276.8617
926.546,2.712034,276.8059
926.983,2.712425,276.8459
927.421,2.711809,276.783
927.858,2.711095,276.7101
928.295,2.71116,276.7167
928.732,2.711768,276.7788
929.17,2.710919,276.6922
929.607,2.710017,276.6001
930.044,2.709017,276.498
930.482,2.708788,276.4746
930.919,2.708277,276.4225
931.356,2.706175,276.2079
931.793,2.706008,276.1909
932.231,2.705542,276.1434
932.668,2.705036,276.0917
933.105,2.704775,276.0651
933.542,2.705105,276.0988
933.98,2.704722,276.0596
934.417,2.704599,276.0471
934.854,2.704717,276.0592
935.292,2.705575,276.1467
935.729,2.705604,276.1496
936.166,2.70504,276.0921
936.603,2.703881,275.9738
937.041,2.703615,275.9467
937.478,2.702607,275.8438
937.915,2.702207,275.8029
938.352,2.701545,275.7354
938.79,2.700382,275.6167
939.227,2.699778,275.555
939.664,2.698761,275.4513
940.102,2.698112,275.385
940.539,2.696332,275.2033
940.976,2.695736,275.1425
941.413,2.695156,275.0833
941.851,2.694467,275.0129
942.288,2.694164,274.9821
942.725,2.692568,274.8192
943.162,2.692748,274.8375
943.6,2.693062,274.8695
