time_s,force_N,weight_g
74.512,0.96345,98.3353
74.949,0.819765,83.67
75.386,0.090184,9.2047
75.823,1.103801,112.6603
76.26,0.180377,18.4104
76.697,0.110088,11.2362
77.134,0.68509,69.9243
77.571,1.250757,127.6595
78.008,1.417011,144.6284
78.445,0.496775,50.7037
78.882,0.01633,1.6667
79.319,-0.004203,-0.429
79.756,-0.004101,-0.4186
80.193,-0.004056,-0.414
80.63,-0.004052,-0.4136
81.067,-0.004108,-0.4193
81.504,0.023854,2.4347
81.941,0.630417,64.344
82.378,1.044409,106.5984
82.815,1.071641,109.3779
83.252,1.104064,112.6872
83.689,0.995574,101.614
84.126,0.634418,64.7524
84.563,0.037332,3.8103
85.0,-0.004628,-0.4724
85.436,-0.004586,-0.4681
85.873,-0.004379,-0.4469
86.31,-0.00431,-0.4399
86.747,-0.00434,-0.443
87.184,-0.004286,-0.4374
87.621,-0.0043,-0.4389
88.058,-0.004179,-0.4266
88.495,-0.00429,-0.4378
88.932,-0.004142,-0.4228
89.369,-0.003978,-0.4061
89.806,-0.00405,-0.4134
90.243,-0.0037,-0.3777
90.68,-0.003895,-0.3976
91.117,-0.003884,-0.3964
91.554,-0.003883,-0.3963
91.991,-0.00399,-0.4072
92.428,-0.003969,-0.4051
92.865,-0.003333,-0.3402
93.302,-0.00358,-0.3654
93.739,-0.003786,-0.3864
94.176,-0.003588,-0.3662
