time_s,force_N,weight_g
167.499,0.046328,4.7285
167.937,0.047437,4.8417
168.374,0.047038,4.801
168.811,0.047224,4.82
169.248,0.045155,4.6088
169.685,0.045617,4.6559
170.122,0.047527,4.8509
170.56,0.045807,4.6753
170.997,0.046106,4.7058
171.434,0.04611,4.7063
171.871,0.046939,4.7909
172.309,0.047935,4.8925
172.746,0.046169,4.7123
173.183,0.144008,14.6983
173.62,0.391839,39.9934
174.057,0.057889,5.9085
174.495,0.055291,5.6433
174.932,0.053879,5.4992
175.369,0.052181,5.3259
175.806,0.053403,5.4506
176.244,0.0541,5.5218
176.681,-0.823592,-84.0606
177.118,-0.151563,-15.4694
177.555,-0.0918,-9.3696
177.992,-0.08936,-9.1206
178.43,-0.088649,-9.0481
178.867,-0.087925,-8.9741
179.304,0.04076,4.1602
179.741,0.270674,27.6265
180.179,0.048301,4.9299
180.616,0.045748,4.6693
181.053,0.045463,4.6402
181.49,0.045096,4.6028
181.927,0.045178,4.6111
182.365,0.045368,4.6305
182.802,-0.205822,-21.0074
183.239,-0.144814,-14.7805
183.676,-0.084901,-8.6655
184.114,-0.082592,-8.4299
184.551,-0.080637,-8.2303
184.988,0.073285,7.4799
185.425,0.261566,26.6969
185.862,0.05157,5.2635
186.3,0.050108,5.1143
186.737,0.049252,5.027
187.174,0.049859,5.0889
