# title,DesignValidationTest
# notes,"first test to check setup, look for hysteresis and consistency"
# independent_variable,F_in [g]
# F_in, g
# l_offset,0
# n_units,1
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples
1,100,87.92551428571429,0.10374542411697125,0.8792551428571429,35
2,200,183.14568285714284,0.09861804358740744,0.9157284142857143,35
3,300,280.80813714285716,0.2228129221695017,0.9360271238095239,35
4,400,386.3460828571428,0.17943413093538618,0.965865207142857,35
5,500,472.8691142857143,0.2990874091621549,0.9457382285714286,35
6,600,560.4351971428571,0.3586581991466593,0.9340586619047618,35
7,700,660.111637142857,0.40587509965629576,0.9430166244897957,35
8,800,751.0148742857144,0.4928067258319485,0.938768592857143,35
9,900,846.8382057142858,0.36988842748850237,0.9409313396825397,35
10,1000,948.3948142857143,0.4846498045240643,0.9483948142857144,35
11,900,869.0202714285714,0.07700013969210556,0.9655780793650793,35
12,800,788.1128114285715,0.1787053190087492,0.9851410142857143,35
13,700,689.670562857143,0.2206380081460467,0.9852436612244899,35
14,600,602.5371828571429,0.33868710137625885,1.004228638095238,35
15,500,499.4499999999999,0.26680187405638767,0.9988999999999998,35
16,400,401.1872171428571,0.2338310997854875,1.0029680428571428,35
17,300,304.1218771428571,0.2609789771629303,1.0137395904761903,35
18,200,202.47380285714289,0.24501761339534045,1.0123690142857145,35
19,100,101.21992571428571,0.08142095171484423,1.012199257142857,35
20,0,4.153445714285714,0.09463710981756493,,35
21,100,86.94488,0.1845443048988187,0.8694488,35
22,200,189.65181428571432,0.133651632640842,0.9482590714285716,35
23,300,280.72691142857144,0.16040201291723014,0.9357563714285715,35
24,400,377.1345857142857,0.08060694811264009,0.9428364642857143,35
25,500,469.1318114285715,0.27706173103970794,0.938263622857143,35
26,400,389.4520028571429,0.1610763875887933,0.9736300071428572,35
27,300,290.83268285714286,0.29520000745826225,0.9694422761904762,35
28,200,198.94173142857142,0.2100256801825315,0.9947086571428571,35
29,100,96.31979142857143,0.4679633578990284,0.9631979142857143,35
30,0,3.1702085714285717,0.06938645134500038,,35
31,100,86.70630857142856,0.11521669193671796,0.8670630857142857,35
32,200,186.56649428571427,0.05733923788890845,0.9328324714285714,35
33,300,284.65937999999994,0.19799214898279313,0.9488645999999998,35
34,400,379.6864742857143,0.24986090994657445,0.9492161857142858,35
35,500,472.1492028571428,0.26650453973146065,0.9442984057142857,35
36,400,390.6791914285715,0.08695705285954122,0.9766979785714288,35
37,300,295.9894285714285,0.1857934282562012,0.9866314285714284,35
38,200,197.25372857142858,0.19577217787584675,0.9862686428571429,35
39,100,100.45742571428572,0.23172142928507064,1.004574257142857,35
40,0,2.8479085714285715,0.17474486674515366,,35
