# title,DesignValidationTest
# notes,second test to check setup using a higher opening angle offset length
# independent_variable,F_in [g]
# F_in, g
# l_offset,24
# n_units,1
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples
1,0,1.0290399999999997,0.874879336621376,,35
2,100,89.06678857142857,0.22703973838674796,0.8906678857142858,35
3,200,184.85863714285716,0.18390284853008437,0.9242931857142858,35
4,300,285.5863171428572,0.4678753922131996,0.9519543904761906,35
5,400,380.7062828571428,0.6037461106856638,0.951765707142857,35
6,500,481.7418542857143,0.3133348165469392,0.9634837085714285,35
7,600,580.3769257142858,0.2903304793859925,0.9672948761904763,35
8,700,680.4658542857145,0.2961098656826819,0.9720940775510207,35
9,800,770.2565457142856,0.8569155766443876,0.962820682142857,35
10,900,868.9263285714286,0.7813291042573909,0.9654736984126985,35
11,1000,972.0986885714286,0.39754489851604313,0.9720986885714287,35
12,900,885.3668057142856,0.4524785168399515,0.9837408952380952,35
13,800,795.7018200000001,0.34226380589179656,0.9946272750000001,35
14,700,700.6720571428573,2.221051306752479,1.0009600816326532,35
15,600,599.1262714285714,0.48030877174842873,0.9985437857142856,35
16,500,503.3675085714285,0.42405348259487324,1.006735017142857,35
17,400,408.6011142857143,0.45475947821371876,1.0215027857142858,35
18,300,305.53157714285715,0.3354021493895454,1.0184385904761906,35
19,200,208.70516285714285,0.32774249673801253,1.0435258142857142,35
20,100,111.48563428571428,0.19613410919550892,1.1148563428571427,35
21,0,13.006354285714288,0.0658665287793837,,35
22,100,99.12717428571429,0.3001131005851921,0.9912717428571429,35
23,200,191.8855657142857,0.30606026794316826,0.9594278285714285,35
24,300,291.06325999999996,0.10160228459681998,0.9702108666666666,35
25,400,390.1827485714286,0.32663082719993036,0.9754568714285715,35
26,500,490.57620285714285,0.2365266487731006,0.9811524057142857,35
27,400,400.78786571428566,0.18160423994606056,1.001969664285714,35
28,300,300.25210000000004,0.40105427900208795,1.0008403333333336,35
29,200,204.10777714285712,0.36362150092200907,1.0205388857142856,35
30,100,106.19559714285715,0.26460641191568035,1.0619559714285716,35
31,0,12.713768571428572,0.14562169717825582,,35
32,100,95.16356571428571,0.3291226518585234,0.9516356571428571,35
33,200,193.06261714285714,0.13403670148335528,0.9653130857142856,35
34,300,290.69853428571423,0.2990686788553272,0.968995114285714,35
35,400,391.80069714285713,0.26654249907871214,0.9795017428571429,35
36,500,488.11578857142854,0.2285713812710069,0.9762315771428571,35
37,400,396.78982285714284,0.2826594126857147,0.9919745571428571,35
38,300,305.38584,0.25465474458799947,1.0179528,35
39,200,205.81750000000002,0.2054754758516712,1.0290875000000002,35
40,100,104.80224285714284,0.25539433901980196,1.0480224285714284,35
41,0,12.979322857142858,0.19547186360748936,,35
42,0,-2.588371428571428,0.07380204672527947,,35
