time_s,force_N,weight_g
1626.827,6.872498,701.4471
1627.264,6.881012,702.316
1627.701,6.886083,702.8336
1628.138,6.873492,701.5486
1628.575,6.870515,701.2447
1629.012,6.88176,702.3925
1629.449,6.873046,701.5031
1629.886,6.869448,701.1358
1630.323,6.882484,702.4663
1630.76,6.879622,702.1742
1631.197,6.867996,700.9875
1631.634,6.877446,701.9521
1632.071,6.880264,702.2397
1632.508,6.870331,701.226
1632.945,6.87397,701.5974
1633.382,6.881818,702.3983
1633.819,6.873594,701.559
1634.256,6.871782,701.374
1634.693,6.880362,702.2498
1635.13,6.876493,701.8549
1635.567,6.869542,701.1453
1636.004,6.877798,701.988
1636.441,6.879078,702.1187
1636.878,6.869219,701.1124
1637.315,6.87395,701.5953
1637.751,6.880354,702.249
1638.188,6.872073,701.4037
1638.625,6.853871,699.546
1639.062,6.841612,698.2947
1639.499,6.831642,697.2771
1639.936,6.806448,694.7057
1640.373,6.823922,696.4891
1640.81,6.827209,696.8247
1641.247,6.817428,695.8264
1641.684,6.823493,696.4453
