time_s,force_N,weight_g
144.285,0.98393,100.4256
144.722,0.981546,100.1823
145.159,0.980574,100.0831
145.596,0.979244,99.9473
146.033,0.980056,100.0303
146.47,0.978915,99.9138
146.907,0.977929,99.8131
147.345,0.979055,99.9281
147.782,0.976551,99.6724
148.219,0.976081,99.6245
148.656,0.977648,99.7845
149.093,0.974921,99.5061
149.53,0.974553,99.4686
149.968,0.974708,99.4844
150.405,0.973813,99.3931
150.842,0.972808,99.2904
151.279,0.972899,99.2998
151.716,0.975109,99.5253
152.153,0.972851,99.2948
152.591,0.972353,99.244
153.028,0.972986,99.3087
153.465,0.972242,99.2326
153.902,0.973185,99.3289
154.339,0.973988,99.4108
154.776,0.973944,99.4064
155.213,0.972982,99.3082
155.651,0.975661,99.5816
156.088,0.977082,99.7267
156.525,0.977126,99.7311
156.962,0.978064,99.8269
157.399,0.97935,99.9582
157.836,0.979868,100.011
158.273,0.980666,100.0925
158.71,0.98275,100.3052
159.147,0.984868,100.5214
