# title,DesignValidationTest
# notes,fourth test to check for repeatability
# independent_variable,F_in [g]
# F_in, g
# l_offset,0
# n_units,1
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,2.6252399999999994,0.2106179021495617,,35,0.04450201133806514
2,100,102.16016571428571,0.07301797096628664,1.021601657142857,35,-0.00458074865015607
3,200,193.28462285714286,0.07972984932852452,0.9664231142857144,35,-0.014178680209892977
4,300,288.2486285714285,0.1339394366461026,0.9608287619047617,35,-0.028070967663183045
5,400,381.7784028571429,0.12185551107698003,0.9544460071428573,35,-0.01920972823865108
6,500,478.24499714285713,0.13636763348457895,0.9564899942857142,35,-0.023483467952550945
7,600,592.4458628571429,0.22673580646377364,0.9874097714285714,35,-0.044519288688277786
8,700,679.1245942857142,0.1644719731941771,0.9701779918367346,35,-0.009335681912658192
9,800,768.8245457142857,0.23112150018712072,0.9610306821428571,35,-0.04863579056404682
10,900,863.2418514285715,0.14532316598336156,0.9591576126984128,35,-0.015509314867591524
11,1000,955.1550628571428,0.18234821260065912,0.9551550628571428,35,0.022135066610220414
12,900,891.21812,0.14541430021109245,0.9902423555555555,35,0.025825009110343477
13,800,807.4036257142858,0.08605325417798439,1.0092545321428572,35,0.012915465673799318
14,700,712.6547628571429,0.17356270283423317,1.0180782326530613,35,0.031836215717905444
15,600,606.8574314285715,0.11415950340856319,1.0114290523809526,35,0.007852797940671025
16,500,516.5101571428572,0.14250073330195484,1.0330203142857144,35,0.026712736701126488
17,400,417.19768000000005,0.10548087588027702,1.0429942,35,0.020360207563761213
18,300,314.46122571428566,0.21515795612533778,1.0482040857142856,35,0.04470389719800676
19,200,216.58332000000001,0.20053891040951316,1.0829166000000001,35,-0.0013065932791527352
20,100,119.71805428571429,0.10163399831476375,1.197180542857143,35,0.016179395139879302
21,0,21.87584285714286,0.08519755687505932,,35,0.006691978729073154
22,0,5.202642857142858,0.2529542219520389,,35,0.05539484406475646
