time_s,force_N,weight_g
1582.459,-0.217672,-22.2169
1582.896,-0.2181,-22.2605
1583.334,-0.219436,-22.3969
1583.771,-0.219473,-22.4007
1584.209,-0.220255,-22.4805
1584.646,-0.221763,-22.6344
1585.084,-0.223686,-22.8307
1585.521,-0.222859,-22.7463
1585.959,-0.224595,-22.9234
1586.396,-0.224676,-22.9317
1586.833,-0.225051,-22.97
1587.271,-0.225735,-23.0399
1587.708,-0.225075,-22.9725
1588.146,-0.226962,-23.165
1588.583,-0.22787,-23.2578
1589.021,-0.228123,-23.2836
1589.458,-0.227398,-23.2095
1589.896,-0.226632,-23.1313
1590.333,-0.226962,-23.165
1590.771,-0.227039,-23.1729
1591.208,-0.226538,-23.1218
1591.646,-0.228498,-23.3218
1592.083,-0.228983,-23.3713
1592.52,-0.229252,-23.3987
1592.958,-0.228209,-23.2923
1593.395,-0.229023,-23.3755
1593.833,-0.229753,-23.4499
1594.27,-0.229781,-23.4528
1594.708,-0.229011,-23.3742
1595.145,-0.228616,-23.3339
1595.583,-0.229093,-23.3825
1596.02,-0.230335,-23.5094
1596.457,-0.231346,-23.6125
1596.895,-0.232018,-23.6811
1597.332,-0.232507,-23.731
1597.77,-0.232091,-23.6886
1598.207,-0.23311,-23.7926
1598.645,-0.231651,-23.6437
1599.082,-0.231757,-23.6545
1599.52,-0.229899,-23.4649
1599.957,-0.227846,-23.2553
1600.395,-0.228209,-23.2923
1600.832,-0.228009,-23.2719
1601.269,-0.228563,-23.3285
1601.707,-0.227891,-23.2599
1602.144,-0.227047,-23.1738
1602.582,-0.226945,-23.1634
1603.019,-0.225589,-23.0249
1603.457,-0.225324,-22.9979
1603.894,-0.22644,-23.1118
1604.332,-0.22655,-23.123
1604.769,-0.226803,-23.1488
1605.206,-0.226562,-23.1243
1605.644,-0.225923,-23.059
1606.081,-0.226306,-23.0981
1606.519,-0.226489,-23.1168
1606.956,-0.226738,-23.1422
1607.394,-0.227035,-23.1725
1607.831,-0.227186,-23.1879
1608.268,-0.225772,-23.0436
1608.706,-0.22589,-23.0557
1609.143,-0.22728,-23.1975
