time_s,force_N,weight_g
428.901,-0.021688,-2.2136
429.338,-0.02126,-2.1699
429.775,-0.021421,-2.1864
430.213,-0.021014,-2.1449
430.65,-0.021341,-2.1782
431.087,-0.020629,-2.1055
431.525,-0.021307,-2.1747
431.962,-0.021277,-2.1717
432.4,-0.020641,-2.1068
432.837,-0.020094,-2.051
433.274,-0.020616,-2.1042
433.712,-0.02054,-2.0964
434.149,-0.019925,-2.0336
434.587,-0.019942,-2.0354
435.024,-0.021252,-2.1691
435.461,-0.021226,-2.1665
435.899,-0.021294,-2.1734
436.336,-0.022104,-2.2561
436.774,-0.020879,-2.131
437.211,-0.022053,-2.2509
437.648,-0.022333,-2.2794
438.086,-0.022981,-2.3456
438.523,-0.021693,-2.2141
438.961,-0.021426,-2.1868
439.398,-0.021833,-2.2284
439.835,-0.022812,-2.3283
440.273,-0.023058,-2.3534
440.71,-0.022307,-2.2768
441.148,-0.023338,-2.382
441.585,-0.022502,-2.2967
442.022,-0.022689,-2.3158
442.46,-0.022532,-2.2998
442.897,-0.022574,-2.3041
443.335,-0.022723,-2.3192
443.772,-0.023355,-2.3837
444.209,-0.02271,-2.3179
444.647,-0.023049,-2.3525
445.084,-0.022596,-2.3062
445.522,-0.022867,-2.3339
445.959,-0.02307,-2.3547
446.396,-0.022706,-2.3175
446.834,-0.023159,-2.3638
447.271,-0.023371,-2.3854
447.708,-0.02307,-2.3547
448.146,-0.023367,-2.385
448.583,-0.024219,-2.472
449.021,-0.023452,-2.3936
449.458,-0.023694,-2.4183
449.895,-0.024584,-2.5092
450.333,-0.023872,-2.4365
450.77,-0.023757,-2.4248
451.208,-0.024838,-2.5351
451.645,-0.024452,-2.4958
452.082,-0.024385,-2.4888
452.52,-0.024656,-2.5165
452.957,-0.024588,-2.5096
453.394,-0.024283,-2.4785
453.832,-0.0255,-2.6026
454.269,-0.024359,-2.4862
454.707,-0.024452,-2.4958
455.144,-0.024686,-2.5196
455.581,-0.0248,-2.5312
456.019,-0.024482,-2.4988
456.456,-0.024419,-2.4923
456.894,-0.023711,-2.42
457.331,-0.022371,-2.2833
457.768,-0.023393,-2.3876
458.206,-0.022888,-2.3361
458.643,-0.022685,-2.3153
459.08,-0.0219,-2.2353
459.518,-0.022901,-2.3374
459.955,-0.02143,-2.1873
460.392,-0.021307,-2.1747
460.83,-0.021943,-2.2396
461.267,-0.021883,-2.2336
461.705,-0.022401,-2.2863
462.142,-0.021964,-2.2418
462.579,-0.021697,-2.2145
463.017,-0.023054,-2.353
463.454,-0.021438,-2.1881
463.891,-0.021939,-2.2392
464.329,-0.021629,-2.2076
464.766,-0.021048,-2.1483
465.204,-0.021608,-2.2054
465.641,-0.021362,-2.1803
466.078,-0.020446,-2.0869
466.516,-0.021082,-2.1518
466.953,-0.021133,-2.157
467.39,-0.020256,-2.0674
467.828,-0.019615,-2.0021
468.265,-0.020925,-2.1358
468.703,-0.019997,-2.041
469.14,-0.020849,-2.128
469.577,-0.020832,-2.1262
470.015,-0.02026,-2.0678
470.452,-0.020819,-2.1249
470.89,-0.02118,-2.1617
471.327,-0.020561,-2.0986
471.764,-0.02059,-2.1016
472.202,-0.020836,-2.1267
472.639,-0.021498,-2.1942
473.076,-0.021519,-2.1963
473.514,-0.021269,-2.1708
473.951,-0.021129,-2.1565
474.389,-0.02137,-2.1812
474.826,-0.021159,-2.1596
475.263,-0.021137,-2.1574
475.701,-0.021481,-2.1924
476.138,-0.021655,-2.2102
476.576,-0.020234,-2.0652
477.013,-0.020997,-2.1431
477.45,-0.020387,-2.0808
477.888,-0.019442,-1.9843
478.325,-0.019933,-2.0345
478.762,-0.020196,-2.0613
479.2,-0.019548,-1.9951
479.637,-0.020514,-2.0938
480.075,-0.01937,-1.977
480.512,-0.019857,-2.0267
480.949,-0.019942,-2.0354
481.387,-0.021841,-2.2292
481.824,-0.02179,-2.224
482.261,-0.021845,-2.2297
482.699,-0.022189,-2.2647
483.136,-0.021875,-2.2327
483.574,-0.021765,-2.2214
484.011,-0.021591,-2.2037
484.448,-0.021892,-2.2344
484.886,-0.022303,-2.2764
485.323,-0.02171,-2.2158
485.761,-0.021481,-2.1924
486.198,-0.021214,-2.1652
486.635,-0.02076,-2.1189
487.073,-0.020798,-2.1228
487.51,-0.021752,-2.2201
487.948,-0.020306,-2.0726
488.385,-0.020646,-2.1072
488.822,-0.020493,-2.0916
489.26,-0.020273,-2.0691
489.697,-0.01984,-2.025
490.134,-0.019717,-2.0124
490.572,-0.019446,-1.9848
491.009,-0.019539,-1.9943
491.447,-0.019721,-2.0129
491.884,-0.019234,-1.9631
492.321,-0.01923,-1.9627
492.759,-0.018704,-1.909
493.196,-0.019013,-1.9406
493.634,-0.018051,-1.8424
494.071,-0.018369,-1.8749
494.508,-0.018679,-1.9064
494.946,-0.017475,-1.7836
495.383,-0.017759,-1.8125
495.821,-0.018878,-1.9268
496.258,-0.017915,-1.8286
496.695,-0.018687,-1.9073
497.133,-0.019107,-1.9501
497.57,-0.018895,-1.9285
498.007,-0.018971,-1.9363
498.445,-0.018869,-1.9259
498.882,-0.019459,-1.9861
499.32,-0.019459,-1.9861
499.757,-0.019459,-1.9861
500.194,-0.019488,-1.9891
500.632,-0.020658,-2.1085
501.069,-0.020675,-2.1102
501.507,-0.019938,-2.0349
501.944,-0.020395,-2.0817
502.381,-0.020603,-2.1029
502.819,-0.019442,-1.9843
503.256,-0.020256,-2.0674
503.694,-0.020124,-2.054
504.131,-0.01956,-1.9964
504.568,-0.019603,-2.0008
505.006,-0.020739,-2.1167
505.443,-0.019132,-1.9527
505.88,-0.019827,-2.0237
506.318,-0.01956,-1.9964
506.755,-0.018967,-1.9359
507.193,-0.018929,-1.932
507.63,-0.018611,-1.8995
508.067,-0.018865,-1.9255
508.505,-0.018628,-1.9012
508.942,-0.019302,-1.97
509.379,-0.018331,-1.871
509.817,-0.018484,-1.8865
510.254,-0.01948,-1.9882
510.692,-0.018712,-1.9099
511.129,-0.018573,-1.8956
511.566,-0.018178,-1.8554
512.004,-0.018081,-1.8454
512.441,-0.017966,-1.8337
512.879,-0.018903,-1.9294
513.316,-0.018738,-1.9125
513.753,-0.019039,-1.9432
514.191,-0.018543,-1.8926
514.628,-0.018348,-1.8727
515.066,-0.018526,-1.8909
515.503,-0.017843,-1.8212
515.94,-0.018874,-1.9263
516.378,-0.018674,-1.906
516.815,-0.01867,-1.9056
517.253,-0.019208,-1.9605
517.69,-0.01884,-1.9229
