time_s,force_N,weight_g
2841.145,3.996731,407.9296
2841.582,3.997321,407.9898
2842.019,4.001434,408.4096
2842.456,3.999611,408.2236
2842.893,4.000124,408.2759
2843.331,4.003354,408.6056
2843.768,4.004485,408.721
2844.205,4.003415,408.6118
2844.642,4.007256,409.0038
2845.079,4.007918,409.0715
2845.516,4.006218,408.8979
2845.953,4.009603,409.2433
2846.39,4.01064,409.3492
2846.828,4.008386,409.1192
2847.265,4.010042,409.2882
2847.702,4.010933,409.3791
2848.139,4.008476,409.1284
2848.576,4.009143,409.1964
2849.013,4.011006,409.3866
2849.45,4.008402,409.1208
2849.887,4.007568,409.0357
2850.325,4.01025,409.3094
2850.762,4.008516,409.1325
2851.199,4.008407,409.1213
2851.636,4.010091,409.2932
2852.073,4.008923,409.174
2852.51,4.008093,409.0893
2852.947,4.010762,409.3617
2853.385,4.011584,409.4456
2853.822,4.010257,409.3102
2854.259,4.012906,409.5805
2854.696,4.014863,409.7802
2855.133,4.012487,409.5377
2855.57,4.014525,409.7458
2856.008,4.017885,410.0887
