# title,LinkNumberVariationHysteresis
# notes,
# independent_variable,F_in [g]
# F_in, g
# l_offset,24
# n_units,1
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,0.5154485714285715,0.3864119992438949,,35,-0.08221108614493264
2,100,93.30448,0.3539363359170026,0.9330448,35,0.07493381917795816
3,200,188.42214857142858,0.20501611754635818,0.9421107428571429,35,0.030153213852241522
4,300,293.25960000000003,0.1791460610129896,0.9775320000000001,35,-0.028892776592511715
5,400,381.6299142857143,0.18560859219281559,0.9540747857142857,35,0.00034912034827571157
6,500,473.2732085714285,0.8755509510391416,0.9465464171428569,35,-0.09451751883145607
7,400,400.98139142857144,0.15770589972072097,1.0024534785714285,35,0.005006864753895052
8,300,304.6903942857143,0.19272322266562267,1.0156346476190476,35,0.03072989423158318
9,200,206.71239714285713,0.1218961213630732,1.0335619857142857,35,0.01845611922375236
10,100,116.99627714285715,0.0858105440035486,1.1699627714285716,35,0.0011628175297580773
11,0,23.60582857142857,0.05762239950201416,,35,-0.006202723617868612
