# title,LinkNumberVariationHysteresis,,,,,
# notes,,,,,,
# independent_variable,F_in [g],,,,,
# F_in, g,,,,,
# l_offset,24,,,,,
# n_units,3,,,,,
# l_curve,0,,,,,
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,5.337048571,0.321582622,,35,0.051048089
2,100,83.68524857,0.26246872,0.836852486,35,0.051335174
3,200,177.5316686,0.210443211,0.887658343,35,0.015722575
4,300,275.1947914,0.137325807,0.917315971,35,-0.025508366
5,400,376.5504914,0.229068978,0.941376229,35,-0.043988735
6,500,476.4443714,0.400950468,0.952888743,35,0.076830777
7,400,405.4825229,0.303377508,1.013706307,35,0.05510426
8,300,318.3458686,0.127348973,1.061152895,35,0.015555738
9,200,215.1751143,0.193002243,1.075875571,35,0.038392037
10,100,116.0951543,0.196456555,1.160951543,35,0.040521051
11,0,29.38802286,0.117299652,,35,0.023207742
12,100,97.01975429,1.094475008,0.970197543,35,0.207506443
13,200,191.6145943,0.178646463,0.958072971,35,-0.032066091
14,300,284.0130914,0.18975984,0.946710305,35,0.002824383
15,400,388.5573,0.18307917,0.97139325,35,0.008688241
16,500,484.73454,0.158335991,0.96946908,35,0.006503688
17,400,409.5198143,0.218867279,1.023799536,35,0.037612218
18,300,312.8776143,0.119025564,1.042925381,35,-0.013095159
19,200,220.9877,0.18953344,1.1049385,35,0.033830168
20,100,126.9426457,0.374051495,1.269426457,35,0.032598451
21,0,34.89275429,1.195385384,,35,-0.165181088
22,0,-0.756705714,0.073928686,,35,0.009555585
23,100,84.91215714,0.77492803,0.849121571,35,0.119881958
24,200,179.7530486,0.703568689,0.898765243,35,0.142745113
25,300,279.6244829,1.87302171,0.93208161,35,0.340689438
26,400,372.4030371,0.158997436,,35,0.028929483
27,500,476.3880029,0.164931894,0.952776006,35,-0.034925091
28,400,406.8311714,0.724213586,1.017077929,35,-0.095179543
29,300,304.1267086,0.210064615,1.013755695,35,-0.023834689
30,200,220.3425514,0.120556856,1.101712757,35,0.022583317
31,100,117.8044143,0.109350828,1.178044143,35,0.009502274
32,0,28.949,0.173600339,,35,-0.015739364
