time_s,force_N,weight_g
2589.085,1.155919,117.9798
2589.522,1.155365,117.9232
2589.959,1.155246,117.9111
2590.396,1.155599,117.9471
2590.833,1.155295,117.9161
2591.27,1.154921,117.8779
2591.708,1.155636,117.9509
2592.145,1.155903,117.9782
2592.582,1.154625,117.8477
2593.019,1.155825,117.9702
2593.456,1.155558,117.9429
2593.893,1.15442,117.8268
2594.33,1.155208,117.9073
2594.767,1.155147,117.901
2595.204,1.153803,117.7639
2595.641,1.155291,117.9157
2596.078,1.155919,117.9798
2596.515,1.15428,117.8125
2596.952,1.15534,117.9207
2597.389,1.156112,117.9996
2597.826,1.155217,117.9081
2598.264,1.153664,117.7496
2598.701,1.155673,117.9547
2599.138,1.154835,117.8691
2599.575,1.154185,117.8029
2600.012,1.155365,117.9232
2600.449,1.155365,117.9232
2600.886,1.154724,117.8578
2601.323,1.154292,117.8138
2601.76,1.155262,117.9127
2602.197,1.153959,117.7798
2602.635,1.154255,117.81
2603.072,1.155669,117.9543
2603.509,1.153754,117.7588
2603.946,1.154206,117.805
