time_s,force_N,weight_g
501.805,-0.007075,-0.7221
502.242,-0.006884,-0.7026
502.679,-0.00677,-0.691
503.116,-0.00788,-0.8042
503.553,-0.007762,-0.7922
503.99,-0.007335,-0.7487
504.427,-0.007132,-0.7279
504.864,-0.006786,-0.6927
505.301,-0.007266,-0.7416
505.738,-0.007388,-0.754
506.175,-0.007802,-0.7964
506.612,-0.007193,-0.7341
507.05,-0.008018,-0.8183
507.487,-0.009777,-0.9979
507.924,-0.002438,-0.2489
508.361,0.003133,0.3198
508.798,-4.351346,-444.1237
509.235,-19.43025,-1983.1643
509.672,-0.418872,-42.7526
510.109,0.012191,1.2443
510.546,0.007168,0.7316
510.983,0.006075,0.6201
511.42,0.004324,0.4413
511.857,0.004681,0.4778
512.294,0.003991,0.4073
512.731,0.004612,0.4708
513.168,0.005283,0.5392
513.606,0.003828,0.3907
514.043,0.004897,0.4998
514.48,0.004088,0.4173
514.917,0.004629,0.4724
515.354,0.004885,0.4986
515.791,0.005267,0.5375
516.228,0.00421,0.4297
516.665,0.004324,0.4413
517.102,0.00462,0.4716
517.539,0.00562,0.5736
517.976,0.005823,0.5944
518.413,0.005454,0.5566
518.85,0.004966,0.5068
519.287,0.005933,0.6056
519.724,0.006392,0.6524
520.161,0.006433,0.6566
520.598,0.005827,0.5948
521.035,0.006534,0.6669
521.472,0.006599,0.6736
521.91,0.006051,0.6176
522.347,0.00831,0.8482
522.784,-4.942358,-504.4458
523.221,-13.453467,-1373.1392
523.658,0.004909,0.501
524.095,0.04182,4.2684
524.532,0.037232,3.8001
524.969,0.035054,3.5778
525.406,0.034347,3.5056
525.843,0.033936,3.4637
526.28,0.033717,3.4413
526.717,0.0334,3.409
527.154,0.03355,3.4243
527.591,0.033302,3.399
528.028,0.033839,3.4538
528.465,0.034497,3.521
528.902,0.034294,3.5002
529.34,0.033936,3.4637
529.777,0.033213,3.3899
530.214,0.033774,3.4471
530.651,0.034172,3.4878
531.088,0.033184,3.387
531.525,0.03403,3.4733
