time_s,force_N,weight_g
571.052,0.827796,84.4897
571.49,0.828391,84.5504
571.928,0.82883,84.5953
572.365,0.828456,84.557
572.803,0.828839,84.5961
573.241,0.828138,84.5246
573.679,0.827344,84.4436
574.116,0.827426,84.4519
574.554,0.828786,84.5907
574.992,0.828256,84.5367
575.43,0.829376,84.6509
575.867,0.828981,84.6106
576.305,0.828558,84.5674
576.743,0.828908,84.6031
577.181,0.830162,84.7311
577.618,0.828322,84.5433
578.056,0.829881,84.7025
578.494,0.830826,84.7989
578.932,0.830394,84.7548
579.369,0.831045,84.8213
579.807,0.829519,84.6655
580.245,0.829323,84.6455
580.683,0.829071,84.6198
581.12,0.82892,84.6044
581.558,0.828631,84.5749
581.996,0.828488,84.5603
582.433,0.827756,84.4855
582.871,0.828541,84.5658
583.309,0.826827,84.3908
583.747,0.825858,84.2919
584.185,0.825948,84.301
584.622,0.825007,84.205
585.06,0.824071,84.1095
585.498,0.825174,84.2221
585.936,0.825321,84.237
586.373,0.824564,84.1597
586.811,0.825626,84.2682
587.249,0.82482,84.1859
587.686,0.823285,84.0293
588.124,0.823407,84.0417
588.562,0.824128,84.1153
589.0,0.822259,83.9245
589.437,0.82403,84.1053
589.875,0.825032,84.2075
590.313,0.823631,84.0646
590.75,0.82471,84.1747
591.188,0.825125,84.2171
591.626,0.825862,84.2923
592.064,0.826497,84.3571
592.501,0.826762,84.3842
592.939,0.827935,84.5038
593.377,0.827784,84.4885
593.815,0.828879,84.6002
594.252,0.829372,84.6505
594.69,0.828961,84.6086
595.128,0.828269,84.5379
595.566,0.828989,84.6115
596.003,0.829352,84.6484
596.441,0.828896,84.6019
596.879,0.829604,84.6742
597.316,0.829115,84.6243
597.754,0.829918,84.7062
598.192,0.830243,84.7395
598.63,0.829665,84.6804
599.067,0.828818,84.594
599.505,0.828778,84.5899
599.943,0.828692,84.5811
600.381,0.828456,84.557
600.818,0.828199,84.5308
