time_s,force_N,weight_g
2020.288,2.367873,241.6789
2020.725,2.366879,241.5774
2021.162,2.365722,241.4593
2021.6,2.365388,241.4252
2022.037,2.364895,241.3749
2022.474,2.364552,241.34
2022.912,2.362849,241.1661
2023.349,2.362739,241.1549
2023.786,2.362824,241.1636
2024.224,2.361031,240.9806
2024.661,2.359613,240.8359
2025.098,2.359524,240.8267
2025.536,2.358647,240.7373
2025.973,2.358321,240.704
2026.41,2.357796,240.6503
2026.848,2.357066,240.5759
2027.285,2.356952,240.5642
2027.722,2.357482,240.6183
2028.16,2.358122,240.6836
2028.597,2.358285,240.7002
2029.034,2.359246,240.7984
2029.472,2.358175,240.689
2029.909,2.35789,240.6599
2030.346,2.358647,240.7373
2030.783,2.35835,240.7069
2031.221,2.359275,240.8013
2031.658,2.359153,240.7888
2032.095,2.359406,240.8147
2032.533,2.358623,240.7348
2032.97,2.359267,240.8005
2033.407,2.359878,240.8629
2033.845,2.359593,240.8338
2034.282,2.359145,240.788
2034.719,2.358806,240.7535
2035.156,2.357042,240.5734
2035.594,2.356019,240.469
2036.031,2.356007,240.4678
2036.468,2.355974,240.4644
2036.906,2.35562,240.4282
2037.343,2.35606,240.4732
2037.78,2.356048,240.4719
2038.217,2.355709,240.4374
2038.655,2.354752,240.3396
2039.092,2.353847,240.2473
2039.529,2.353464,240.2082
2039.966,2.352042,240.063
2040.404,2.350367,239.8921
2040.841,2.348831,239.7353
2041.278,2.347906,239.6409
2041.716,2.347877,239.638
2042.153,2.348052,239.6559
2042.59,2.348863,239.7386
2043.027,2.349336,239.7869
2043.465,2.349902,239.8447
2043.902,2.35009,239.8638
2044.339,2.350803,239.9366
2044.776,2.350644,239.9204
2045.214,2.350925,239.9491
2045.651,2.351691,240.0273
2046.088,2.352013,240.0602
2046.525,2.352095,240.0685
2046.963,2.353097,240.1708
2047.4,2.352653,240.1255
2047.837,2.35302,240.1629
2048.274,2.353089,240.17
2048.712,2.352559,240.1159
2049.149,2.352123,240.0714
2049.586,2.352657,240.1259
2050.024,2.35258,240.118
