# title,OpeningAngleVariation,,,,,
# notes,repeated test to analyze contradicting results,,,,,
# independent_variable,l_offset [mm],,,,,
# F_in,300 g,,,,,
# l_offset,,,,,,
# n_units,2,,,,,
# l_curve,0,,,,,
trial,l_offset,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,294.9921609,0.93575481,0.983307203,69,-0.105159055
2,10,285.6406478,0.345677095,0.952135493,69,0.011272956
3,10,285.8411362,0.754344335,0.952803787,69,0.009688517
4,10,282.0861014,0.344830096,0.940287005,69,0.026417175
5,15,284.1951449,0.446375355,0.94731715,69,-0.035498213
6,15,285.8468188,0.371538307,0.952822729,69,-0.005762325
7,15,286.2380942,2.339353761,0.954126981,69,0.216996048
8,20,279.5336348,0.451515077,0.931778783,69,-0.033039481
9,20,280.1596304,0.325931344,0.933865435,69,0.031434364
10,20,285.3941739,0.723111315,0.951313913,69,-0.016831352
11,24,278.2914855,0.996315627,0.927638285,69,-0.052946747
12,24,276.0645174,0.62944558,0.920215058,69,0.066442998
13,24,272.5376058,0.315073335,0.908458686,69,-0.027260772
