time_s,force_N,weight_g
2199.907,2.750323,280.7139
2200.344,2.75101,280.7841
2200.781,2.749192,280.5985
2201.218,2.748233,280.5006
2201.656,2.748867,280.5653
2202.093,2.748464,280.5242
2202.53,2.746358,280.3092
2202.968,2.745512,280.2229
2203.405,2.745365,280.208
2203.842,2.743617,280.0295
2204.28,2.743332,280.0004
2204.717,2.743222,279.9892
2205.154,2.742864,279.9527
2205.592,2.741112,279.7738
2206.029,2.740599,279.7215
2206.466,2.739306,279.5895
2206.904,2.737996,279.4558
2207.341,2.738676,279.5252
2207.778,2.73687,279.3409
2208.216,2.735064,279.1566
2208.653,2.736378,279.2906
2209.09,2.736659,279.3193
2209.528,2.734784,279.1279
2209.965,2.735963,279.2483
2210.402,2.737561,279.4114
2210.839,2.735934,279.2454
2211.277,2.735019,279.152
2211.714,2.737944,279.4504
2212.151,2.736984,279.3525
2212.589,2.735333,279.184
2213.026,2.737773,279.433
2213.463,2.736947,279.3488
2213.901,2.736545,279.3076
2214.338,2.736423,279.2952
2214.775,2.736309,279.2836
2215.213,2.736178,279.2703
2215.65,2.736984,279.3525
2216.087,2.73872,279.5297
2216.524,2.737801,279.4359
2216.962,2.737801,279.4359
2217.399,2.739717,279.6314
2217.836,2.739103,279.5688
2218.274,2.738456,279.5027
2218.711,2.738981,279.5563
2219.148,2.737509,279.406
2219.586,2.736354,279.2881
2220.023,2.736471,279.3002
2220.46,2.736199,279.2724
2220.897,2.73469,279.1184
2221.335,2.735764,279.2279
2221.772,2.735044,279.1545
2222.209,2.735321,279.1827
2222.647,2.735231,279.1736
2223.084,2.736406,279.2935
2223.521,2.734511,279.1001
2223.958,2.732498,278.8946
2224.396,2.735495,279.2006
2224.833,2.734576,279.1068
2225.27,2.733088,278.9548
2225.708,2.734275,279.076
2226.145,2.734686,279.118
2226.582,2.734788,279.1284
2227.02,2.737154,279.3699
2227.457,2.737931,279.4492
2227.894,2.736882,279.3421
2228.331,2.738676,279.5252
2228.769,2.740205,279.6812
2229.206,2.741758,279.8398
2229.643,2.742559,279.9215
