# Per-condition metrics
label,l_offset,n_units,l_curve,F_in_g,F_out_load_g,epsilon_load,F_out_unload_g,epsilon_unload,delta_F_g,H_pct
"LinkNumberVariationHysteresis | l_off=24, n=1, l_c=0",24,1,0,100.0,93.3045,0.933045,116.9963,1.169963,23.6918,0.237
"LinkNumberVariationHysteresis | l_off=24, n=1, l_c=0",24,1,0,200.0,188.4221,0.942111,206.7124,1.033562,18.2902,0.091
"LinkNumberVariationHysteresis | l_off=24, n=1, l_c=0",24,1,0,300.0,293.2596,0.977532,304.6904,1.015635,11.4308,0.038
"LinkNumberVariationHysteresis | l_off=24, n=1, l_c=0",24,1,0,400.0,381.6299,0.954075,400.9814,1.002453,19.3515,0.048
"LinkNumberVariationHysteresis | l_off=24, n=1, l_c=0",24,1,0,500.0,473.2732,0.946546,,,,
"LinkNumberVariationHysteresis | l_off=24, n=3, l_c=0",24,3,0,100.0,88.5391,0.885391,120.2807,1.202807,31.7417,0.317
"LinkNumberVariationHysteresis | l_off=24, n=3, l_c=0",24,3,0,200.0,182.9664,0.914832,218.8351,1.094176,35.8687,0.179
"LinkNumberVariationHysteresis | l_off=24, n=3, l_c=0",24,3,0,300.0,279.6108,0.932036,311.7834,1.039278,32.1726,0.107
"LinkNumberVariationHysteresis | l_off=24, n=3, l_c=0",24,3,0,400.0,379.1703,0.956385,407.2778,1.018195,28.1076,0.070
"LinkNumberVariationHysteresis | l_off=24, n=3, l_c=0",24,3,0,500.0,479.1890,0.958378,,,,
"LinkNumberVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,100.0,90.1749,0.901749,114.1743,1.141743,23.9994,0.240
"LinkNumberVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,200.0,190.3449,0.951725,211.8213,1.059107,21.4764,0.107
"LinkNumberVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,300.0,288.8031,0.962677,306.2460,1.020820,17.4429,0.058
"LinkNumberVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,400.0,378.2272,0.945568,398.4444,0.996111,20.2171,0.051
"LinkNumberVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,500.0,471.8030,0.943606,,,,

# Summary per configuration
label,l_offset,n_units,l_curve,mean_eps_load,mean_eps_unload,delta_eps,mean_delta_F_g,mean_zero_residual_g
"LinkNumberVariationHysteresis | l_off=24, n=1, l_c=0",24,1,0,0.950662,1.055403,0.104741,18.1911,12.0606
"LinkNumberVariationHysteresis | l_off=24, n=3, l_c=0",24,3,0,0.929404,1.088614,0.159210,31.9726,19.5620
"LinkNumberVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,0.941065,1.054445,0.113380,20.7840,15.7543
