label,l_offset,n_units,l_curve,F_in_g,F_out_load_g,epsilon_load,F_out_unload_g,epsilon_unload,delta_F_g,H_pct
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,100.0,99.5012,0.995012,124.3296,1.243296,24.8284,0.248
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,200.0,200.4484,1.002242,225.7092,1.128546,25.2608,0.126
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,300.0,294.3602,0.981201,324.3522,1.081174,29.9920,0.100
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,400.0,387.8976,0.969744,422.6466,1.056617,34.7490,0.087
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,500.0,488.8535,0.977707,,,,
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,100.0,98.8019,0.988019,130.3595,1.303595,31.5576,0.316
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,200.0,192.3460,0.961730,222.6376,1.113188,30.2916,0.151
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,300.0,291.0104,0.970035,314.9828,1.049943,23.9724,0.080
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,400.0,385.8299,0.964575,415.4813,1.038703,29.6514,0.074
"OpeningAngleVariationHysteresis | l_off=0, n=2, l_c=0",0,2,0,500.0,491.5874,0.983175,,,,
"OpeningAngleVariationHysteresis | l_off=10, n=2, l_c=0",10,2,0,100.0,92.9428,0.929428,118.7394,1.187394,25.7967,0.258
"OpeningAngleVariationHysteresis | l_off=10, n=2, l_c=0",10,2,0,200.0,186.6156,0.933078,213.7493,1.068747,27.1337,0.136
"OpeningAngleVariationHysteresis | l_off=10, n=2, l_c=0",10,2,0,300.0,292.8861,0.976287,313.5455,1.045152,20.6594,0.069
"OpeningAngleVariationHysteresis | l_off=10, n=2, l_c=0",10,2,0,400.0,389.9458,0.974864,408.7754,1.021938,18.8296,0.047
"OpeningAngleVariationHysteresis | l_off=10, n=2, l_c=0",10,2,0,500.0,485.2468,0.970494,,,,
"OpeningAngleVariationHysteresis | l_off=15, n=2, l_c=0",15,2,0,100.0,94.6053,0.946053,115.1789,1.151789,20.5736,0.206
"OpeningAngleVariationHysteresis | l_off=15, n=2, l_c=0",15,2,0,200.0,192.6281,0.963140,209.9022,1.049511,17.2741,0.086
"OpeningAngleVariationHysteresis | l_off=15, n=2, l_c=0",15,2,0,300.0,284.2988,0.947663,317.7077,1.059026,33.4089,0.111
"OpeningAngleVariationHysteresis | l_off=15, n=2, l_c=0",15,2,0,400.0,374.8539,0.937135,388.9470,0.972367,14.0931,0.035
"OpeningAngleVariationHysteresis | l_off=15, n=2, l_c=0",15,2,0,500.0,458.2755,0.916551,,,,
"OpeningAngleVariationHysteresis | l_off=20, n=2, l_c=0",20,2,0,100.0,92.3988,0.923988,117.7167,1.177167,25.3179,0.253
"OpeningAngleVariationHysteresis | l_off=20, n=2, l_c=0",20,2,0,200.0,189.3019,0.946509,217.1737,1.085869,27.8718,0.139
"OpeningAngleVariationHysteresis | l_off=20, n=2, l_c=0",20,2,0,300.0,282.7763,0.942588,308.0566,1.026855,25.2803,0.084
"OpeningAngleVariationHysteresis | l_off=20, n=2, l_c=0",20,2,0,400.0,378.4259,0.946065,398.0223,0.995056,19.5964,0.049
"OpeningAngleVariationHysteresis | l_off=20, n=2, l_c=0",20,2,0,500.0,474.8118,0.949624,,,,
"OpeningAngleVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,100.0,84.4733,0.844733,105.5648,1.055648,21.0915,0.211
"OpeningAngleVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,200.0,183.6718,0.918359,210.8517,1.054258,27.1799,0.136
"OpeningAngleVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,300.0,264.0058,0.880019,294.0862,0.980287,30.0805,0.100
"OpeningAngleVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,400.0,357.5431,0.893858,384.4874,0.961219,26.9443,0.067
"OpeningAngleVariationHysteresis | l_off=24, n=2, l_c=0",24,2,0,500.0,449.4936,0.898987,,,,
