millis_ms,force_N,weight_g,time_s
554382,-0.01194,-1.137,0
554645,-0.01112,-1.058,0.263
554907,-0.0099,-1.237,0.525
555170,-0.01063,-1.089,0.788
555432,-0.01043,-1.191,1.05
555695,-0.01006,-1.087,1.313
555957,-0.01141,-1.187,1.575
556220,-0.01218,-1.077,1.838
556483,-0.01086,-1.079,2.101
556745,-0.01224,-1.114,2.363
557007,-0.01004,-1.085,2.625
557270,-0.01326,-1.306,2.888
557533,-0.01361,-1.454,3.151
557795,-0.01388,-1.366,3.413
558058,-0.01055,-1.191,3.676
558320,-0.01161,-1.256,3.938
558583,-0.01112,-1.277,4.201
558845,-0.01365,-1.266,4.463
559108,-0.01298,-1.191,4.726
559370,-0.01124,-1.116,4.988
559633,-0.01428,-1.302,5.251
559896,-0.01141,-1.189,5.514
560158,-0.0118,-1.26,5.776
560421,-0.00961,-1.135,6.039
560683,-0.01196,-1.223,6.301
560946,-0.01161,-1.177,6.564
561209,-0.01263,-1.31,6.827
561471,-0.01257,-1.096,7.089
561734,-0.01037,-1.121,7.352
561996,-0.01161,-1.089,7.614
562259,-0.01069,-1.158,7.877
562521,-0.0108,-1.166,8.139
562784,-0.01155,-1.298,8.402
563046,-0.00904,-1.1,8.664
563309,-0.01012,-0.794,8.927
563571,-0.01398,-1.437,9.189
563834,-0.00926,-0.875,9.452
564096,-0.01143,-1.087,9.714
564359,-0.01053,-0.975,9.977
564622,-0.00937,-1.189,10.24
564884,-0.01077,-1.044,10.502
565147,-0.01204,-1.108,10.765
565409,-0.00882,-0.975,11.027
565672,-0.01126,-1.087,11.29
565934,-0.00926,-1.044,11.552
566197,-0.00904,-0.956,11.815
566459,-0.00947,-0.925,12.077
566722,-0.01012,-1.139,12.34
566985,-0.00984,-0.966,12.603
567247,-0.00859,-0.946,12.865
567510,-0.00914,-0.814,13.128
567772,-0.00898,-0.756,13.39
568035,-0.00743,-0.877,13.653
568297,-0.00941,-1.071,13.915
568560,-0.0099,-1.081,14.178
568823,-0.00871,-0.904,14.441
569085,-0.00947,-0.985,14.703
569347,-0.00933,-1.106,14.965
569610,-0.01041,-1.021,15.228
569873,-0.01104,-1.216,15.491
570135,-0.01026,-0.973,15.753
